TestClass,RefactoredMethod
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.util.DoublyLinkedList.linkListIntoThisBefore
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.alg.cycle.HawickJamesSimpleCycles.printSimpleCycles
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.alg.matching.blossom.v5.KolmogorovWeightedPerfectMatching.<init>
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.traverse.CrossComponentIterator.addUnseenChildrenOf
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.traverse.CrossComponentIterator.hasNext
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.alg.lca.NaiveLCAFinder.getLCA
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.alg.cycle.HawickJamesSimpleCycles.countSimpleCycles
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.traverse.ClosestFirstIterator.<init>
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.util.DoublyLinkedList.tail
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.alg.lca.NaiveLCAFinder.checkNodes
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.alg.cycle.HawickJamesSimpleCycles.findSimpleCycles
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.traverse.CrossComponentIterator.getEntireGraphVertexIterator
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.removeEdgeFromTouchingVertices
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.util.DoublyLinkedList.linkLast
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.removeEdgeFromTouchingVertices
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.util.DoublyLinkedList.moveFrom
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.graph.DirectedAcyclicGraph.<init>
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.alg.cycle.HawickJamesSimpleCycles.analyzeCircuits
jacoco_org_jgrapht_alg_flow_GusfieldEquivalentFlowTreeTest,org.jgrapht.util.DoublyLinkedList.invert
